Character,Alternate Name,Doctor Strange in the Multiverse of Madness,Spider-Man No Way Home,Eternals,Shang-Chi,Black Widow,Avengers_Endgame,Black_Panther,Avengers Infinity War,Marvels The Avengers,Avengers Age of Ultron,Captain Marvel,Iron Man 3,Captain America Civil War,Guardians of the Galaxy Vol 2,Spider-Man Homecoming,Guardians of the Galaxy,Spider-Man Far from Home,Iron Man,Thor Ragnarok,Iron Man 2,Captain America The Winter Soldier,Doctor Strange,Ant-Man and the Wasp,Venom (2018),Thor The Dark World,Thor,Ant-Man,Captain America: The First Avenger,The Incredible Hulk
Janet van Dyne,,,,,,,,,,,,,,,,,,,,,,,,9:15,,,,,,
Bill Foster,,,,,,,,,,,,,,,,,,,,,,,,8:30,,,,,,
Agent James Wu,,,,,,,,,,,,,,,,,,,,,,,,5:30,,,,,,
Carol Danvers,Captain Marvel,,,,,,5:45,,,,,5:00,,,,,,,,,,,,,,,,,,
Talos,,,,,,,,,,,,13:45,,,,,,,,,,,,,,,,,,
Yon-Rogg,,,,,,,,,,,,11:45,,,,,,,,,,,,,,,,,,
Maria Rambeau,,,,,,,,,,,,11:00,,,,,,,,,,,,,,,,,,
Monica Rambeau,,,,,,,,,,,,4:45,,,,,,,,,,,,,,,,,,
Goose,,,,,,,,,,,,4:45,,,,,,,,,,,,,,,,,,
Dr. Wendy Lawson,,,,,,,,,,,7:00,,,,,,,,,,,,,,,,,,,
Morgan Stark,,,,,,,3:30,,,,,,,,,,,,,,,,,,,,,,,
Quentin Beck,,,,,,,,,,,,,,,,,,20:45,,,,,,,,,,,,
Shang-Chi,,,,,63:00,,,,,,,,,,,,,,,,,,,,,,,,,
Katy Chen,,,,,31:15,,,,,,,,,,,,,,,,,,,,,,,,,
Sersi,,,,46:15,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikaris,,,,34:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Then,,,,19:15,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprite,,,,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingo,,,,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,
America Chavez,,26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine Palmer,,13:45,,,,,,,,,,,,,,,,,,,,,12:45,,,,,,,
